experiment,kind,n_cells,n_frames,freq,M,dev_at_half,dev_sd,p_below_01
engert_20220915_fish1_magneto_2,gaussian_white,95,1260,0.3,57,-0.003013468185796536,0.06791573726992768,0.014035087719298246
engert_20221001_fish1_magneto_0,real,378,1080,0.1,32,0.02306869433549752,0.0,0.0026455026455026454
engert_20221001_fish1_magneto_0,phase_only,378,1080,0.1,32,0.023068813606743916,8.275921921288956e-17,0.0026455026455026454
engert_20221001_fish1_magneto_0,gaussian_psd,378,1080,0.1,32,-0.13427479573663467,0.022751436009351866,0.03218694885361552
engert_20221001_fish1_magneto_0,gaussian_white,378,1080,0.1,32,0.02030147112435232,0.013145662420659752,0.011022927689594356
engert_20221001_fish1_magneto_1,real,424,1080,0.1,32,0.08473089349582164,0.0,0.0047169811320754715
engert_20221001_fish1_magneto_1,phase_only,424,1080,0.1,32,0.08473091612190307,1.8601758340048754e-16,0.0047169811320754715
engert_20221001_fish1_magneto_1,gaussian_psd,424,1080,0.1,32,-0.06951007980584865,0.019609407680983508,0.04284591194968554
engert_20221001_fish1_magneto_1,gaussian_white,424,1080,0.1,32,-0.0031659603447905713,0.02540380797977974,0.008254716981132075
engert_20221001_fish1_magneto_2,real,418,1080,0.1,32,-0.0012578911519138258,0.0,0.007177033492822967
engert_20221001_fish1_magneto_2,phase_only,418,1080,0.1,32,-0.0012576968725727666,2.220446049250313e-16,0.007177033492822967
engert_20221001_fish1_magneto_2,gaussian_psd,418,1080,0.1,32,-0.1530651576444029,0.007610807150209308,0.02791068580542265
engert_20221001_fish1_magneto_2,gaussian_white,418,1080,0.1,32,-0.002176972618746692,0.018833684143743198,0.008373205741626795
engert_20221001_fish2_magneto_0,real,250,1080,0.1,32,0.061544331106805794,0.0,0.008
engert_20221001_fish2_magneto_0,phase_only,250,1080,0.1,32,0.06154436650489207,2.0935843821306283e-16,0.008
engert_20221001_fish2_magneto_0,gaussian_psd,250,1080,0.1,32,-0.07943804906118564,0.007809761603590417,0.04599999999999999
engert_20221001_fish2_magneto_0,gaussian_white,250,1080,0.1,32,0.024795777984228457,0.019196783460883653,0.008
engert_20221001_fish2_magneto_1,real,275,1080,0.1,32,0.028553397411843817,0.0,0.007272727272727273
engert_20221001_fish2_magneto_1,phase_only,275,1080,0.1,32,0.028553437252222664,3.371557542344573e-16,0.007272727272727272
engert_20221001_fish2_magneto_1,gaussian_psd,275,1080,0.1,32,-0.1048530169330113,0.021277568816252278,0.03636363636363636
engert_20221001_fish2_magneto_1,gaussian_white,275,1080,0.1,32,-0.0012087301344572883,0.035091418721470785,0.008484848484848486
engert_20221001_fish2_magneto_2,real,259,1080,0.1,32,0.06915659865022805,0.0,0.003861003861003861
engert_20221001_fish2_magneto_2,phase_only,259,1080,0.1,32,0.06915641904907037,2.0939676470092863e-16,0.0038610038610038607
