population,n_units,median_spk_count,dev_at_half,p_below_01
all magnetic,9553,133.5,0.016285438543207298,0.009211765937401863
ephys (spikes),4716,133.5,0.00703628140766599,0.007633587786259542
imaging (GCaMP),4837,,0.025438123624215492,0.010750465164358073
